drug,system,semi_partial_pearson,semi_partial_spearman,p_pearson,p_spearman,p_bonferroni_pearson,p_bonferroni_spearman,q_fdr_pearson,q_fdr_spearman,q_fdr_pearson_all,q_fdr_spearman_all
Sorafenib,Checkpoint-regulated DNA repair,-0.16763489597426645,-0.1864029239889999,5.6183787400243546e-08,1.532362459144565e-09,7.3600761494319045e-06,2.0073948214793802e-07,9.200095186789881e-07,1.433853443913843e-08,9.395841892891793e-07,2.6183410714948438e-08
Sorafenib,ECM-cytoskeleton assembly,0.1088267778407994,0.16372026124469027,0.0004226760214094405,1.1444126979398561e-07,0.055370558804636705,1.4991806343012115e-05,0.002307106616859863,7.138955401434341e-07,0.0019038587554602879,1.215551865649631e-06
Sorafenib,INSR-FOXO,-0.01150244463508454,0.08948284942149196,0.7094534970988435,0.00376678095260341,1.0,0.49344830479104673,0.8083048403767039,0.00783251277446106,0.7899863170820476,0.010688410934102095
Sorafenib,Integrator-PP2A complex,0.007718941413203337,0.04698066195976931,0.8025166277831797,0.12848600729170956,1.0,1.0,0.847819985803198,0.17938477974193356,0.8552922975424803,0.20174080912153647
Sorafenib,Cell-extracellular matrix interactions,-0.03875892468295514,-0.002196712889770018,0.20927167742971875,0.9417108806463217,1.0,1.0,0.36439075954155875,0.9417108806463217,0.3118247174592586,0.9550770995974307
Sorafenib,Histone deacetylase binding,-0.11459034248290573,-0.10758285608853418,0.0002055074246205546,0.0004878204322722457,0.026921472625292653,0.06390447662766419,0.001223703301149666,0.0011618995750484397,0.001022334403492126,0.0017628821138665983
Sorafenib,Histone acetyltransferase complex,0.08816656558610436,0.1755119435668469,0.004287282685539573,1.3144288768529577e-08,0.561634031805684,1.7219018286773746e-06,0.014779842942254843,1.0128834286337498e-07,0.013189057498372228,1.7812777538041806e-07
Sorafenib,Cyclin D associated events in G1,-0.012639684430851223,0.0695185000085276,0.6822231528427267,0.024432021481768373,1.0,1.0,0.8051462434450198,0.04507880019875573,0.7721056848587231,0.05254054414410381
Sorafenib,Chromosome centrometric region,-0.015832594555515656,0.12452447192115731,0.6080447428664135,5.52295950024817e-05,1.0,0.007235076945325103,0.7444286104252352,0.00017646529134939274,0.7101384366909377,0.00025762885265252593
Sorafenib,Transcription,-0.15389109698229628,0.025863027943176128,6.1863766709358e-07,0.4031870051486508,8.104153438925898e-05,1.0,7.367412217205362e-06,0.4982782799478609,7.257450840829163e-06,0.5022266022929311
Sorafenib,Nuclear receptor signaling,0.03594829956874605,0.11605697685295968,0.24418557220920878,0.0001712821605437398,1.0,0.022437963031229913,0.4101065379411071,0.0004579176128822431,0.35087725732438413,0.0007123162867057115
Sorafenib,Culin-RIng uniqutin ligase complex,0.06844252565539691,0.05302520917198953,0.02660620679672987,0.08617541152768182,1.0,1.0,0.06688973076326855,0.1312671966293758,0.059749938692084795,0.14629346319818123
Sorafenib,Actin and actin-associated proteins,0.08759830422564618,0.11944412372583262,0.004542515291166227,0.00010985453483325358,0.5950695031427757,0.014390944063156219,0.014869306800950163,0.0003162635878533242,0.013812058100025743,0.0004796981354385406
Sorafenib,Mitosis,-0.15956902999108427,-0.23192299721276288,2.350425534203282e-07,5.6621374255882984e-14,3.0790574498062995e-05,7.417400027520671e-12,3.4211749442292216e-06,1.8543500068801677e-12,3.131244864209796e-06,2.5403383100789747e-12
Sorafenib,PcG protein complex,0.07519993359607721,0.09264119787626279,0.014844319018125551,0.0027052793349722215,1.0,0.354391592881361,0.03968583247702954,0.005809698243956738,0.036806418764185125,0.008100379265859681
Sorafenib,Protein nuclear transport,0.0914110975275158,0.13094252854553565,0.0030632369890031264,2.232755121278629e-05,0.40128404555940955,0.002924909208875004,0.011146779043316932,7.697129497039484e-05,0.009977702707878794,0.0001211498585596009
Sorafenib,Metabolism,0.03285092404948711,0.036396127740529055,0.28721622450322615,0.2391204873177899,1.0,1.0,0.43880549360467674,0.31324783838630477,0.3985030052242467,0.33177176175072
Sorafenib,Regulation of nuclear protein ubiquitiation,0.034504072082106686,0.14874635315374354,0.263651370501373,1.4570126072310785e-06,1.0,0.00019086865154727128,0.4317291191959983,7.341101982587357e-06,0.3723809114359015,1.1395143375956495e-05
Sorafenib,EGFR-MAPK signaling,0.014823661142423871,-0.00964765457072259,0.6310491941632921,0.7531331067307507,1.0,1.0,0.7654393003276968,0.795648685336519,0.7296548018020809,0.8059395805178626
Sorafenib,Ubiquitin regulation of mitophagy,0.052188085318322884,0.11021672021834822,0.09089784172125226,0.00035864309649724646,1.0,0.046982245641139286,0.19520684041777123,0.0008864574649271563,0.1592992276318936,0.0013455535744479033
Sorafenib,NeST:78,0.0988288313815917,0.22751982411412322,0.0013665755316529804,1.7186252421197423e-13,0.17902139464654043,2.2513990671768624e-11,0.006173151539535877,4.502798134353725e-12,0.005164078691727128,6.927381745159577e-12
