drug,system,drpt_importance_score,drpt_importance_p_bonferroni_pearson,crispr_best_fdr,include_cnb,include_tmb,n_system_genes,n_features_tested,n_pairs_candidate,n_pairs_tested,n_pairs_skipped_low_pair_count,n_pairs_skipped_sparse_combo,n_pairs_failed,fdr_threshold,n_epistasis_pairs_fdr,n_epistasis_pairs_fdr05,epistasis_score_fraction_fdr,epistasis_score_fraction_fdr05,epistasis_score_fraction_tested_fdr,epistasis_score_mean_neglog10p,epistasis_score_hmp_p,epistasis_score_hmp_neglog10p,epistasis_score_max_neglog10p,max_neglog10p_pair,max_neglog10p_gene_1,max_neglog10p_alteration_type_1,max_neglog10p_gene_2,max_neglog10p_alteration_type_2,max_neglog10p_alteration_1,max_neglog10p_alteration_2,max_neglog10p_epistasis_p,max_neglog10p_epistasis_fdr,median_abs_interaction_beta,mean_delta_r2,epistasis_score_hmp_fdr,epistasis_score_hmp_qvalue,epistasis_score_hmp_neglog10q,epistasis_score_hmp_fdr_n_systems
Bleomycin-a2,p53 regulation of cell cycle,-0.0533386594009875,1.0,0.2221940998891166,True,True,5,15,90,26,63,1,0,0.1,0,0,0.0,0.0,0.0,0.41814516734698104,0.2482980649849421,0.6050266649385351,1.3609484164045147,CREBBP_mut x TP53_del,CREBBP,mut,TP53,del,CREBBP_mut,TP53_del,0.043556360494966084,0.7322171558856762,0.029688421088684594,0.0012205957364812559,0.2932281910298364,0.2932281910298364,0.5327942788462381,124
Bleomycin-a2,Ribosome abundance control,0.030175240125837,1.0,0.3905142171265057,True,True,12,36,594,68,524,2,0,0.1,0,0,0.0,0.0,0.0,0.39888897197775774,0.244844635679473,0.611109406533754,1.68264334736114,NPM1_amp x RHOA_del,NPM1,amp,RHOA,del,NPM1_amp,RHOA_del,0.0207661818412138,0.8415776124467584,0.029614543512421543,0.0011163087967367017,0.2932281910298364,0.2932281910298364,0.5327942788462381,124
Bleomycin-a2,Regulation of nuclear protein ubiquitiation,-0.1005727826475385,0.7620127779057173,0.2123006676550933,True,True,11,33,495,92,399,4,0,0.1,0,0,0.0,0.0,0.0,0.38567653779411354,0.24641980204936675,0.6083243956341521,1.6346610430041897,BARD1_amp x EGFR_amp,BARD1,amp,EGFR,amp,BARD1_amp,EGFR_amp,0.02319204029945696,0.9467395635256396,0.02772633073817856,0.0010921950650481177,0.2932281910298364,0.2932281910298364,0.5327942788462381,124
Bleomycin-a2,p53 regulation,-0.1610420425617143,0.0013128198545353,0.1659952132594053,True,True,11,29,379,80,294,5,0,0.1,0,0,0.0,0.0,0.0,0.43090000214890045,0.2618384927854225,0.5819665076116699,1.2690186666351881,HDAC2_amp x SMARCA4_mut,HDAC2,amp,SMARCA4,mut,HDAC2_amp,SMARCA4_mut,0.05382466473622571,0.8077251417406739,0.03244673636646135,0.0012184296230414685,0.29508264926464695,0.29508264926464695,0.5300563260817197,124
Bleomycin-a2,Chromosome centrometric region,0.0627677860638716,1.0,0.2642070751419846,True,True,7,21,189,29,158,2,0,0.1,0,0,0.0,0.0,0.0,0.4256724176872139,0.25930984040847643,0.5861810021122102,1.3242422555843096,AURKA_amp x AURKB_amp,AURKA,amp,AURKB,amp,AURKA_amp,AURKB_amp,0.047397752016345454,0.8335630550921712,0.0363378555860963,0.001191599966240041,0.29508264926464695,0.29508264926464695,0.5300563260817197,124
Bleomycin-a2,Ubiquitin regulation of mitophagy,-0.0312591834479666,1.0,0.00130131094644,True,True,8,20,173,18,155,0,0,0.1,0,0,0.0,0.0,0.0,0.42549114545850775,0.2554986246467173,0.592611433337288,1.1656836002178688,FBXW7_del x VHL_del,FBXW7,del,VHL,del,FBXW7_del,VHL_del,0.06828359845400048,0.5820566713466665,0.02984843052591597,0.0012563262650655117,0.29508264926464695,0.29508264926464695,0.5300563260817197,124
Bleomycin-a2,Ubiquitin regulation of p53 activity,-0.009917152719929,1.0,0.0128435787847395,True,True,9,25,277,21,256,0,0,0.1,0,0,0.0,0.0,0.0,0.4087295970553389,0.26414656506754686,0.5781550324572974,1.1656836002178688,FBXW7_del x VHL_del,FBXW7,del,VHL,del,FBXW7_del,VHL_del,0.06828359845400048,0.5658884304759257,0.02841047305218889,0.0012096783687433055,0.29508264926464695,0.29508264926464695,0.5300563260817197,124
Bleomycin-a2,MutL alpha/beta complex,0.00879432435037,1.0,0.0070251898825775,True,True,5,15,90,16,74,0,0,0.1,0,0,0.0,0.0,0.0,0.3853569461492275,0.26295914830241923,0.5801117155592226,1.3562348577368932,BRCA1_mut x BRIP1_mut,BRCA1,mut,BRIP1,mut,BRCA1_mut,BRIP1_mut,0.044031668468793896,0.7045066955007023,0.03051174695312292,0.00111301050073645,0.29508264926464695,0.29508264926464695,0.5300563260817197,124
Bleomycin-a2,Extracellular matrix,-0.0158825979592024,1.0,0.6359117233215493,True,True,8,24,252,20,232,0,0,0.1,0,0,0.0,0.0,0.0,0.35648717173322947,0.2624428516775775,0.5809652518890274,1.414115776912492,ACTA2_del x FGF10_amp,ACTA2,del,FGF10,amp,ACTA2_del,FGF10_amp,0.038537560815439756,0.7707512163087951,0.020036970889223606,0.0010348860180203312,0.29508264926464695,0.29508264926464695,0.5300563260817197,124
Bleomycin-a2,Type I interferon signaling pathway,0.0502368223016455,1.0,0.4040194593168256,True,True,7,21,189,2,175,12,0,0.1,0,0,0.0,0.0,0.0,0.5570176608181383,0.2773207328394759,0.5570176608181383,0.5570176608181383,IFIT2_del x PML_del,IFIT2,del,PML,del,IFIT2_del,PML_del,0.2773207328394759,0.2773207328394759,0.06811247814448566,0.0015406909879064346,0.3070336685008483,0.3070336685008483,0.5128139983260849,124
