drug,system,semi_partial_pearson,semi_partial_spearman,p_pearson,p_spearman,p_bonferroni_pearson,p_bonferroni_spearman,q_fdr_pearson,q_fdr_spearman,q_fdr_pearson_all,q_fdr_spearman_all
Bleomycin-a2,NeST:49,0.027114912305153373,-0.04278732033763518,0.4564088092233096,0.24104274935329562,1.0,1.0,0.5640523963042788,0.379666792791365,0.570329608981751,0.34891270900863786
Bleomycin-a2,Cell motility,0.1762216733149587,0.13199255606379792,1.3311999760290405e-06,0.00029145857393064745,0.0001743871968598043,0.038181073184914815,1.4532266404983693e-05,0.0018181463421388007,1.3161297876211646e-05,0.0011511881362285875
Bleomycin-a2,Checkpoint-regulated DNA repair,-0.09487442180611547,-0.12315462096315845,0.009278668019839786,0.0007320238040657845,1.0,0.09589511833261777,0.026424032839108956,0.0035516710493562137,0.024806234910183918,0.002562898485504261
Bleomycin-a2,ECM-cytoskeleton assembly,0.11375255154751576,0.10320383055758066,0.0017999422170638102,0.004612135409882923,0.23579243043535913,0.6041897386946629,0.007145225164707852,0.014736335090113729,0.006302852089962941,0.012675309203384536
Bleomycin-a2,INSR-FOXO,-0.1081598364387703,-0.06924124605798003,0.0030164655876134816,0.05767512581748768,0.3951569919773661,1.0,0.010679918702090976,0.12186195938856269,0.009589937459589314,0.10755076842834004
Bleomycin-a2,Integrator-PP2A complex,0.056913764742653805,-0.007060625696836733,0.11823874888507158,0.8475797548839497,1.0,1.0,0.2212753729134911,0.9101061302442409,0.20787126778804238,0.8936253351291542
Bleomycin-a2,Cell-extracellular matrix interactions,-0.10112540598842655,0.031222778707923764,0.005552710693815577,0.3908294859314898,0.7274051008898406,1.0,0.0180566128678185,0.5171582086568198,0.016164557797552014,0.5015379199055526
Bleomycin-a2,Histone deacetylase binding,-0.28944166829290685,-0.35555573129688633,1.9984014443252818e-15,0.0,2.617905892066119e-13,0.0,2.617905892066119e-13,0.0,1.9634294190495893e-13,0.0
Bleomycin-a2,Histone acetyltransferase complex,0.006238566593605482,0.008774430270906117,0.8633606743641506,0.8085987823341145,1.0,1.0,0.8976210185849502,0.8868700422619946,0.9048019867336299,0.8686206191211658
Bleomycin-a2,Cyclin D associated events in G1,0.03907651652743219,0.002246884018723357,0.283315339785043,0.9496485830801076,1.0,1.0,0.39244408898323946,0.9932944506386527,0.4012357785063852,0.9700114181948858
Bleomycin-a2,Chromosome centrometric region,0.06276778606387165,0.05983158552747746,0.08492554473275638,0.100381109203739,1.0,1.0,0.17115763630755515,0.182637851467914,0.1583664962276311,0.16985909975056804
