Current Name,NEST ID,New Name,Important,Direct Genes
Regulation of adherens junction stability,NEST:142,EGF/beta-catenin signaling,0,"APC,CBL,CDH1,CDH2,CTNNA1,CTNNB1,EGF,EGFR,FYN,HDAC2"
Endoplasmic Reticulum protein processing,NEST:21,Protein processing in endoplasmic reticulum,0,"ARFRP1,CALR,EGFR,SEC23B,TRAF3,TUSC3"
EMT,NEST:108,EMT,1,"HDAC1,SOX2"
RTK-JAK-STAT signaling,NEST:89,Erb and JAK-STAT signaling,0,"BCR,CBL,CBLB,CSF3R,EGF,EGFR,ERBB2,ERBB3,ERBB4,FRS2,INPPL1,IRS1,JAK1,JAK2,PDGFRA,PIK3R1,PLCG2,PTPN11,RET,STAT3,STAT5A"
Ubiquitin regulation of mitophagy,NEST:77,Ubiquitin regulation of mitophagy,1,"CUL3,ELOC,FBXW7,HSP90AA1,PARK2,SKP1,STK11,VHL"
Cell Proliferation,NEST:132,EGF/FGF stimulation of cell proliferation,0,"EGF,EGFR,ERBB3,ERBB4,FGF1,FGF2,FGF5,FGF7,FRS2,IGF1,IGF2,MYC,RB1,TP53"
Protein Transport,NEST:12,Membrane trafficking,1,"CFTR,KRAS,NRAS,PIK3C3,PREX2,RAB35,RAC1,RINT1,TNF"
EGFR/PI3K signaling,NEST:153,PIK3-EGFR signaling,0,"ABL1,CBL,CRKL,CTNNB1,EGF,EGFR,ERBB2,MET,PIK3R1,PIK3R2,SOCS1"
TNFR/Traf signaling,NEST:83,TNF signaling pathway,1,"BIRC3,CASP8,CD40,FAS,MAP3K7,PARP1,TNF,TNFAIP3,TNFRSF9,TP53,TRAF2,TRAF3"
PIK3/AKT signaling,NEST:138,PIK3/AKT signaling pathway,1,"AKT1,AKT2,AKT3,FOXO3,HSP90AA1,PDPK1,PIK3CB,PIK3CD,PRKCZ,PRKDC,PTEN"
mTOR regulation of autophagy/ribosome biogenesis,NEST:137,mTOR regulation of autophagy,1,"AKT1,MAPK1,MTOR,PPP2R2A,RICTOR,RPS6KB1,RPTOR,SQSTM1"
Signaling pathways,NEST:1,Other signaling processes,0,"BCLAF1,CTC1,CTRC,EP300,FGFR3,FH,ITPKB,KDM5C,KEAP1,LDLR,MAP3K1,NFE2L2,NOTCH1,NOTCH2,PRKAR1A,PRKCI,PRSS1,RHOA,SDHA,SDHB,TBC1D12,TCF3,YAP1,ZNF471"
Beta-catenin,NEST:221,Non-canonical Wnt signaling pathway,0,"AMER1,AXIN1,CTNNB1,DAXX,MYC"
RAS-RAF-MAPK,NEST:212,RAS-RAF-MAPK signaling,0,"ARAF,BRAF,HRAS,KRAS,MAP2K1,MAPK1,RAF1"
EGFR-MAPK signaling,NEST:73,MAPK signaling,0,"ABL1,AKT1,CBL,CDKN1B,EGFR,MDM4,TNF,TSC1,TSC2"
NeST:195,NEST:195,NEST:195,0,"EGFR,ERBB2,FGFR1,FRS2,KRAS,STAT3"
