ID	Annotation	All_Genes	Size_All
NeST:2	Cytoplasm/extracellular space	"ABCC3,ABL1,ABL2,ACTA2,ADGRA2,AKT1,APOB,ARHGAP26,ARID5B,ATP7B,AXL,B2M,BCAR1,BCL2L12,BIRC3,BTK,C8orf34,CARD11,CASR,CBL,CBLB,CBR3,CCND1,CD19,CD22,CD274,CD276,CD40,CD70,CD79A,CD79B,CDH1,CHEK2,CIITA,CRKL,CSF1R,CSF3R,CTLA4,CUL3,CXCR4,CYLD,CYP1B1,CYP2D6,CYP3A5,DMD,DNM2,DPYD,EBF1,EGF,EGFL7,EGFR,ENG,EPCAM,EPHA2,EPHA3,EPHA5,EPHA7,EPHB1,EPHB2,EPOR,ERBB2,ERBB4,ERG,ERRFI1,ESR1,ETS1,EXT2,FAM46C,FANCC,FAS,FBXO11,FCGR2A,FCGR3A,FGF10,FGF19,FGF23,FGFR3,FLT1,FLT3,FLT4,FOXA1,FOXP1,FRS2,FYN,GALNT12,GATA1,GATA3,GNA11,GNA13,GNAQ,GNAS,GPC3,GREM1,GRIN2A,HAVCR2,HGF,HLA-A,HLA-B,HLA-C,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DOB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DQB2,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F,HLA-G,HNF1A,HNF1B,HRAS,HSP90AA1,IDH1,IDO1,IFIT1,IFIT2,IFIT3,IFNAR1,IFNAR2,IFNGR1,IFNGR2,IGF1,IKBKE,IKZF1,IKZF3,IL10RA,IL15,IL2RA,IL6R,IL7R,INHBA,IRF1,IRF2,IRF4,IRS1,IRS2,JAK1,JAK2,JAK3,KDR,KIF1B,KIT,KLHL6,LAG3,LATS1,LMNA,LYN,MAFB,MAP2K1,MAPK1,MC1R,MPL,MS4A1,MST1,MYD88,MYH11,MYOD1,NEGR1,NF2,NFE2L2,NFKBIA,NKX2-1,NOTCH4,NTRK3,P2RY8,PAK1,PAK3,PAK5,PALLD,PCBP1,PDCD1,PDCD1LG2,PDGFRA,PDGFRB,PHOX2B,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R2,PIK3R3,PLCG2,PLK2,PML,POU2F2,PPP1CB,PRDM1,PREX2,PRF1,PTK2,PTPN11,PTPN22,PTPRD,QKI,RAC1,RASA1,RET,RHOA,RHPN2,SETBP1,SH2B3,SH2D1A,SLIT2,SMAD3,SOCS1,SOD2,SOX17,SPRED1,SPTA1,SRC,STAT3,STAT4,STAT5A,STAT5B,STAT6,SYK,TAP1,TAP2,TIGIT,TLR4,TMEM127,TMEM173,TNF,TNFAIP3,TNFRSF14,TNFRSF17,TNFRSF9,TPM1,TPMT,VEGFA,VSIR"	238
NeST:20	Extracellular matrix organization	"ACTA2,CD276,DMD,DPYD,ENG,FANCC,FGF10,FOXA1,GREM1,INHBA,PALLD,PDGFRB,TNF"	13
NeST:202	MHC class I including non-classical MHCs	"B2M,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HLA-G,TAP2"	8
NeST:21	Endoplasmic Reticulum protein processing	"ARFRP1,CALR,EGFR,SEC23B,TRAF3,TUSC3"	6
NeST:210	Regulation of androgen receptor signaling pathway	"ANKRD11,CREBBP,NCOA3,NCOR1,NCOR2"	5
NeST:212	RAS-RAF-MAPK	"ARAF,BRAF,HRAS,KRAS,MAP2K1,MAPK1,RAF1"	7
NeST:22	Structural constituent of muscle	"C8orf34,CBL,FBXO11,GALNT12,MYOD1,TPM1"	6
NeST:221	Beta-catenin	"AMER1,AXIN1,CTNNB1,DAXX,MYC"	5
NeST:23	Actin filament-based process	"ACTA2,CASR,CBL,MYH11,NFE2L2,PALLD,PIK3CA,PPP1CB,RAC1,TNF,TPM1"	11
NeST:231	MutS homologs	"MLH1,MSH2,MSH3,MSH6,PMS2"	5
NeST:239	Beta-catenin destruction complex	"APC,AXIN1,CTNNB1,GSK3B,HLA-A"	5
NeST:24	Epithelial differentiation	"ALOX12B,CDH1,CDH2,EPCAM,FLG,KLF4,PRSS8,ZNF750"	8
NeST:25	Lymphocyte activation	"B2M,BTK,CD22,CD40,CIITA,CSF1R,CTLA4,FCGR2A,FCGR3A,FYN,HAVCR2,HLA-A,HLA-B,HLA-C,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F,HLA-G,IKZF1,IKZF3,KIT,LYN,PDCD1,PIK3CD,PTPN22,SH2D1A,SYK,TAP1,TAP2,TIGIT"	39
NeST:254	PI3-K/Akt	"EGFR,IGF1R,INSR,IRS1,PDPK1,PTEN"	6
NeST:256	MAPK signaling	"ERBB2,ERBB4,FGFR2,FGFR4,HRAS,KRAS"	6
NeST:26	RNA processing 2	"BCLAF1,CASP8,CDC73,CREBBP,EWSR1,FUS,PRPF40B,RBM10,SF1,SF3B1,SRSF2,TNF,U2AF1,UPF1,ZRSR2"	15
NeST:27	Contractile fiber	"C8orf34,CBL,GALNT12,MYOD1,TPM1"	5
NeST:277	MutL alpha/beta complex	"BRCA1,BRIP1,MLH1,PMS1,PMS2"	5
NeST:29	NeST:29	"ADGRA2,EGFL7,ENG,ERG,ETS1,FLT1,FLT4,KDR,NOTCH4,SH2B3,SOX17,TMEM127,VEGFA,VSIR"	14
NeST:293	RBL-TP53 complex	"E2F1,E2F4,RBL1,RBL2,TP53"	5
