All_Genes,Annotation,Direct_Genes,name,NEST ID,shared name,Size-Log,Size_All,Size_Direct
"BIRC3,CASP8,CD40,FAS,MAP3K7,PARP1,TNF,TNFAIP3,TNFRSF9,TP53,TRAF2,TRAF3",TNF signaling,"BIRC3,CASP8,CD40,FAS,MAP3K7,PARP1,TNF,TNFAIP3,TNFRSF9,TP53,TRAF2,TRAF3",TNF signaling pathway,NEST:83,TNF signaling pathway,1.0791812460476249,12,12
"AKT1,AKT2,AKT3,FOXO3,HSP90AA1,PDPK1,PIK3CB,PIK3CD,PRKCZ,PRKDC,PTEN",PIK3/AKT/PTEN signaling,"AKT1,AKT2,AKT3,FOXO3,HSP90AA1,PDPK1,PIK3CB,PIK3CD,PRKCZ,PRKDC,PTEN",PIK3/AKT/PTEN signaling,NEST:138,PIK3/AKT/PTEN signaling,1.0413926851582251,11,11
"AKT1,MAPK1,MTOR,PPP2R2A,RICTOR,RPS6KB1,RPTOR,SQSTM1",AKT/MTOR pathway II,"AKT1,MAPK1,MTOR,PPP2R2A,RICTOR,RPS6KB1,RPTOR,SQSTM1",AKT/MTOR pathway II,NEST:137,AKT/MTOR pathway II,0.9030899869919435,8,8
"ABL1,ACVR1B,AKT1,AKT2,AKT3,ALK,ALOX12B,AMER1,ANKRD11,APC,ARAF,ARFRP1,AURKB,AXIN1,AXIN2,BARD1,BCAR1,BCL2,BCL2L1,BCL2L11,BCL2L2,BCL6,BCLAF1,BCR,BIRC3,BMPR1A,BRAF,BRCA1,BTK,CALR,CASP8,CBL,CBLB,CCND1,CD40,CDC25A,CDH1,CDH2,CDKN1B,CEBPA,CFTR,CHEK2,CREBBP,CRKL,CSF3R,CTC1,CTNNA1,CTNNB1,CTRC,CUL3,DAXX,DDB2,EBF1,EGF,EGFR,EGLN1,ELOC,EP300,EPCAM,EPHB2,ERBB2,ERBB3,ERBB4,ESR2,ETV4,ETV5,FAS,FBXO11,FBXW7,FGF1,FGF2,FGF5,FGF7,FGFR1,FGFR2,FGFR3,FGFR4,FH,FLG,FOXO1,FOXO3,FRS2,FYN,GPS2,GSK3B,HDAC1,HDAC2,HDAC3,HDAC4,HDAC5,HLA-A,HRAS,HSP90AA1,IFNAR1,IFNAR2,IFNGR1,IGF1,IGF1R,IGF2,INPPL1,INSR,IRS1,IRS2,ITPKB,JAK1,JAK2,KDM5C,KEAP1,KLF4,KRAS,LDLR,MAP2K1,MAP2K2,MAP2K4,MAP3K1,MAP3K7,MAPK1,MCL1,MDM2,MDM4,MET,MIB1,MS4A1,MTOR,MYC,NCOA3,NCOR1,NCOR2,NF2,NFE2L2,NOTCH1,NOTCH2,NRAS,NRIP1,PARK2,PARP1,PDGFRA,PDPK1,PGR,PIAS4,PIK3C3,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R2,PIK3R3,PLCG2,PPP1CA,PPP2R2A,PRAME,PREX2,PRKAR1A,PRKCI,PRKCZ,PRKDC,PRSS1,PRSS8,PTEN,PTK2,PTPN11,PTPN13,RAB35,RAC1,RAF1,RARA,RASA1,RB1,RET,RHOA,RICTOR,RINT1,RIT1,RPS6KB1,RPTOR,RUNX1T1,RXRA,SDHA,SDHB,SEC23B,SKP1,SMAD2,SMAD3,SMAD4,SOCS1,SOD2,SOX2,SQSTM1,SRC,STAT3,STAT5A,STAT5B,STAT6,STK11,SYK,TBC1D12,TBL1XR1,TBX3,TCF3,TCF7L2,TET2,TGFBR1,TGFBR2,TNF,TNFAIP3,TNFRSF9,TP53,TRAF2,TRAF3,TSC1,TSC2,TUSC3,VHL,YAP1,ZNF471,ZNF750",Other signaling processes,"BCLAF1,CTC1,CTRC,EP300,FGFR3,FH,ITPKB,KDM5C,KEAP1,LDLR,MAP3K1,NFE2L2,NOTCH1,NOTCH2,PRKAR1A,PRKCI,PRSS1,RHOA,SDHA,SDHB,TBC1D12,TCF3,YAP1,ZNF471",Other signaling processes,NEST:1,Other signaling processes,2.3344537511509307,216,24
"AMER1,AXIN1,CTNNB1,DAXX,MYC",Non-canonical Wnt signaling pathway,"AMER1,AXIN1,CTNNB1,DAXX,MYC",Non-canonical Wnt signaling pathway,NEST:221,Non-canonical Wnt signaling pathway,0.6989700043360189,5,5
"ARAF,BRAF,HRAS,KRAS,MAP2K1,MAPK1,RAF1",RAS-RAF-MAPK signaling,"ARAF,BRAF,HRAS,KRAS,MAP2K1,MAPK1,RAF1",RAS-RAF-MAPK signaling,NEST:212,RAS-RAF-MAPK signaling,0.8450980400142568,7,7
"ABL1,AKT1,ARAF,BRAF,CBL,CDC25A,CDKN1B,EGFR,HDAC4,HDAC5,HRAS,KRAS,MAP2K1,MAP2K2,MAPK1,MDM4,MYC,RAF1,STAT3,STAT5A,TNF,TSC1,TSC2",MAPK signaling,"ABL1,AKT1,CBL,CDKN1B,EGFR,MDM4,TNF,TSC1,TSC2",MAPK signaling,NEST:73,MAPK signaling,1.3617278360175928,23,9
"EGFR,ERBB2,FGFR1,FRS2,KRAS,STAT3",NEST:195,"EGFR,ERBB2,FGFR1,FRS2,KRAS,STAT3",NEST:195,NEST:195,NEST:195,0.7781512503836436,6,6
"CUL3,ELOC,FBXW7,HSP90AA1,MDM2,SKP1,STK11,TNF,VHL",Protein neddylation,"CUL3,ELOC,FBXW7,HSP90AA1,MDM2,SKP1,STK11,TNF,VHL",Protein neddylation,NEST:105,Protein neddylation,0.9542425094393249,9,9
"AKT1,APC,AXIN1,AXIN2,CTNNB1,GSK3B,HLA-A,PPP1CA",Extended beta-catenin destruction complex,"AKT1,AXIN2,PPP1CA",Extended beta-catenin destruction complex,NEST:174,Extended beta-catenin destruction complex,0.9030899869919435,8,3
